query,source,title,url,published_at,content,fetched_at,clean_content,summary,sentiment
artificial intelligence,CBS Sports,"Self-learning AI reveals NFL against the spread, over/under and money-line picks for every Week 5, 2025 game",https://www.cbssports.com/nfl/news/nfl-spread-picks-predictions-a-i-best-bets-week-5/,2025-10-05T13:56:20Z,"The Buffalo Bills can't lock up an AFC East title quite yet, but they can go a long way in taking command of it when they meet the New England Patriots on 'Sunday Night Football' to highlight Week 5 … [+3879 chars]",2025-10-06T13:57:36.790263+00:00,buffalo bills cant lock afc east title quite yet long way taking command meet new england patriots sunday night football highlight week chars,buffalo bills cant lock afc east title quite yet long way taking command meet new england patriots sunday night football highlight week chars,neutral
artificial intelligence,CBS News,AI in the military: Testing a new kind of air force,https://www.cbsnews.com/video/ai-in-the-military-testing-a-new-kind-of-air-force/,2025-10-05T13:56:00Z,Copyright ©2025 CBS Interactive Inc. All rights reserved.,2025-10-06T13:57:36.790263+00:00,copyright cbs interactive inc rights reserved,copyright cbs interactive inc rights reserved,neutral
artificial intelligence,Onefootball.com,"Bologna unstoppable: Cambiaghi, Moro, Orsolini net three, Pisa see red",https://onefootball.com/en/news/bologna-unstoppable-cambiaghi-moro-orsolini-net-three-pisa-see-red-41764806,2025-10-05T13:52:00Z,"At the Dall'Ara Stadium, Bologna resumes its hunt for a European spot; against Pisa, led by Alberto Gilardino, still searching for their first victory.
Watch the entire Serie BKT live with LaB Chann… [+1114 chars]",2025-10-06T13:57:36.790263+00:00,dallara stadium bologna resumes hunt european spot pisa led alberto gilardino still searching first victory watch entire serie bkt live lab chann chars,dallara stadium bologna resumes hunt european spot pisa led alberto gilardino still searching first victory watch entire serie bkt live lab chann chars,positive
artificial intelligence,CNBC,"Investors aren't the market's biggest loser if Trump, SEC end quarterly reporting",https://www.cnbc.com/2025/10/05/trump-sec-quarterly-earnings-reports-accounting-firms.html,2025-10-05T13:06:30Z,"With the Securities and Exchange Commission now pursuing President Trump's request to consider a rule that ends the mandate that public companies file quarterly reports, there's a lot to gain for com… [+8809 chars]",2025-10-06T13:57:36.790263+00:00,securities exchange commission pursuing president trumps request consider rule ends mandate public companies file quarterly reports theres lot gain com chars,securities exchange commission pursuing president trumps request consider rule ends mandate public companies file quarterly reports theres lot gain com chars,neutral
artificial intelligence,Blogger.com,"""Sarah's Song"" -- Family History Poem, Song, Audio Overview and Video Overview Created by Artificial Intelligence",https://www.blogger.com/comment/fullpage/post/26204193/2116385617393290260,2025-10-05T13:04:00Z,"I've used FREE Artificial Intelligence tools to create biographies, poems, songs and podcasts about my ancestors lives, plus my genealogy research and family history in the recent past. Every ancesto… [+7724 chars]",2025-10-06T13:57:36.790263+00:00,ive used free artificial intelligence tools create biographies poems songs podcasts ancestors lives plus genealogy research family history recent past every ancesto chars,ive used free artificial intelligence tools create biographies poems songs podcasts ancestors lives plus genealogy research family history recent past every ancesto chars,negative
artificial intelligence,Nextpit.com,Your Samsung Galaxy Could Detect Alzheimer in the Future,https://www.nextpit.com/news/samsung-galaxy-feature-detect-alzheimers-dementia,2025-10-05T13:00:30Z,"Alzheimers is a progressive brain disorder and the leading cause of dementia. Its one of the most alarming conditions currently under study, largely because it remains incurable and irreversible. Tha… [+2193 chars]",2025-10-06T13:57:36.790263+00:00,alzheimers progressive brain disorder leading cause dementia one alarming conditions currently study largely remains incurable irreversible tha chars,alzheimers progressive brain disorder leading cause dementia one alarming conditions currently study largely remains incurable irreversible tha chars,negative
artificial intelligence,Snopes.com,Fact Check: Rumor has it photos show 'scrappy stray' Chihuahua that joined wolf pack in Minnesota. Here's the truth,https://www.snopes.com/fact-check/minnesota-wolf-pack-chihuahua/,2025-10-05T13:00:00Z,"Claim:
Images authentically showed a Chihuahua that joined a pack of wolves near Ely, Minnesota.
Rating:
In September 2025, images circulated online that claimed to authentically show a Chihuahua … [+6323 chars]",2025-10-06T13:57:36.790263+00:00,claim images authentically showed chihuahua joined pack wolves near ely minnesota rating september images circulated online claimed authentically show chihuahua chars,claim images authentically showed chihuahua joined pack wolves near ely minnesota rating september images circulated online claimed authentically show chihuahua chars,positive
artificial intelligence,TechRadar,Wonder Man: everything we know so far about the final Marvel TV show of 2025 on Disney+,https://www.techradar.com/streaming/disney-plus/wonder-man-hub,2025-10-05T13:00:00Z,"Wonder Man: key information
- Releasing on Disney+ in December- Unclear how many episodes it'll launch with- First trailer could be unveiled soon- Yahya Abdul-Mateen II plays the titular character- … [+8676 chars]",2025-10-06T13:57:36.790263+00:00,wonder man key information releasing disney december unclear many episodes itll launch first trailer could unveiled soon yahya abdulmateen plays titular character chars,wonder man key information releasing disney december unclear many episodes itll launch first trailer could unveiled soon yahya abdulmateen plays titular character chars,positive
artificial intelligence,Snopes.com,Do photos show 'scrappy stray' Chihuahua that joined wolf pack in Minnesota?,https://www.snopes.com//fact-check/minnesota-wolf-pack-chihuahua/,2025-10-05T13:00:00Z,"Claim:
Images authentically showed a Chihuahua that joined a pack of wolves near Ely, Minnesota.
In September 2025, images circulated online that claimed to authentically show a Chihuahua near Ely,… [+4194 chars]",2025-10-06T13:57:36.790263+00:00,claim images authentically showed chihuahua joined pack wolves near ely minnesota september images circulated online claimed authentically show chihuahua near ely chars,claim images authentically showed chihuahua joined pack wolves near ely minnesota september images circulated online claimed authentically show chihuahua near ely chars,positive
artificial intelligence,The Times of India,"Arattai hits 7.5 million downloads as Zoho-backed messaging platform trends on social media, app charts",https://economictimes.indiatimes.com/tech/technology/arattai-hits-7-5-million-downloads-as-zoho-backed-messaging-platform-trends-on-social-media-app-charts/articleshow/124320866.cms,2025-10-05T12:56:34Z,"Zoho-backed homegrown messaging platform Arattai has topped 7.5 million overall downloads as on Friday, marking one of the fastest adoption feat for a local app in recent times.The viral streak comes… [+4494 chars]",2025-10-06T13:57:36.790263+00:00,zohobacked homegrown messaging platform arattai topped million overall downloads friday marking one fastest adoption feat local app recent timesthe viral streak comes chars,zohobacked homegrown messaging platform arattai topped million overall downloads friday marking one fastest adoption feat local app recent timesthe viral streak comes chars,neutral
artificial intelligence,The Times of India,Indian market's shift towards premium devices to drive Snapdragon 8 chipsets adoption: Qualcomm,https://economictimes.indiatimes.com/tech/technology/indian-markets-shift-towards-premium-devices-to-drive-snapdragon-8-chipsets-adoption-qualcomm/articleshow/124320659.cms,2025-10-05T12:40:13Z,Chipset major Qualcomm expects shift of the Indian market towards the premium device segment will drive adoption of the company's latest and premium smartphone processor Snapdragon 8 Elite Gen 5 in t… [+3783 chars],2025-10-06T13:57:36.790263+00:00,chipset major qualcomm expects shift indian market towards premium device segment drive adoption companys latest premium smartphone processor snapdragon elite gen chars,chipset major qualcomm expects shift indian market towards premium device segment drive adoption companys latest premium smartphone processor snapdragon elite gen chars,positive
artificial intelligence,Biztoc.com,Chatbot dreams generate AI nightmares for Bay Area lawyers,https://biztoc.com/x/2c215b111fd44b53,2025-10-05T12:39:23Z,A Palo Alto lawyer with nearly a half-century of experience admitted to an Oakland federal judge this summer that legal cases he referenced in an important court filing didnt actually exist and appea… [+146 chars],2025-10-06T13:57:36.790263+00:00,palo alto lawyer nearly halfcentury experience admitted oakland federal judge summer legal cases referenced important court filing didnt actually exist appea chars,palo alto lawyer nearly halfcentury experience admitted oakland federal judge summer legal cases referenced important court filing didnt actually exist appea chars,positive
artificial intelligence,Tom's Hardware UK,The age of silicon and software began 75 years ago with the patenting of the transistor,https://www.tomshardware.com/tech-industry/semiconductors/the-age-of-silicon-and-software-began-75-years-ago-with-the-patenting-of-the-transistor,2025-10-05T12:36:31Z,"75 years ago, the three Bell Labs scientists behind the invention of the transistor would, at last, have the U.S. Patent in their hands. This insignificant looking semiconductor device with three ele… [+2857 chars]",2025-10-06T13:57:36.790263+00:00,years ago three bell labs scientists behind invention transistor would last patent hands insignificant looking semiconductor device three ele chars,years ago three bell labs scientists behind invention transistor would last patent hands insignificant looking semiconductor device three ele chars,negative
artificial intelligence,Onefootball.com," Caprile shines, Zaniolo and Bayo blunders, Udinese-Cagliari 1-1",https://onefootball.com/en/news/caprile-shines-zaniolo-and-bayo-blunders-udinese-cagliari-1-1-41764512,2025-10-05T12:30:00Z,"At the BluEnergy Stadium, a lively lunchtime match between Udinese and Cagliari with plenty of emotions, athletic gestures, and notable errors.
Watch the entire Serie BKT live with LaB Channel on On… [+1307 chars]",2025-10-06T13:57:36.790263+00:00,bluenergy stadium lively lunchtime match udinese cagliari plenty emotions athletic gestures notable errors watch entire serie bkt live lab channel chars,bluenergy stadium lively lunchtime match udinese cagliari plenty emotions athletic gestures notable errors watch entire serie bkt live lab channel chars,positive
